Supplementary Table 2. Genes more potently regulated by IL-15,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
gene_name,symbol,RPKM,,,,,,,,,Fold Change,,,,,,,
,,,4 hour,,,,24 hour,,,,4 hour,,,,24 hour,,,
,,Cont,IL2_1nM,IL2_500nM,IL15_1nM,IL15_500nM,IL2_1nM,IL2_500nM,IL15_1nM,IL15_500nM,IL2_1nM,IL2_500nM,IL15_1nM,IL15_500nM,IL2_1nM,IL2_500nM,IL15_1nM,IL15_500nM
NM_029635,Commd9,4.57,5.52,2.03,5.53,4.83,10.60,7.58,4.30,7.59,1.21,0.45,1.21,1.06,2.32,1.66,0.94,1.66
NM_172275,Trafd1,23.10,26.22,115.01,35.60,238.09,33.16,53.56,24.00,68.75,1.14,4.98,1.54,10.31,1.44,2.32,1.04,2.98
NM_011163,Eif2ak2,0.80,1.32,3.88,1.41,7.80,1.06,1.80,0.68,1.73,1.64,4.83,1.75,9.70,1.32,2.24,0.85,2.15
NM_183201,Slfn5,1.53,1.14,11.29,1.88,36.25,1.05,1.31,1.50,2.02,0.74,7.37,1.23,23.67,0.68,0.85,0.98,1.32
NM_008652,Mybl2,1.46,1.17,1.03,1.11,1.74,3.60,14.74,1.39,15.48,0.80,0.71,0.76,1.20,2.47,10.11,0.95,10.62
NM_172991,C030048B08Rik,6.47,10.64,8.47,5.14,7.12,5.43,2.93,8.55,5.58,1.64,1.31,0.80,1.10,0.84,0.45,1.32,0.86
NM_026185,Abhd15,7.75,3.83,1.55,2.97,0.59,7.60,5.35,9.09,3.56,0.49,0.20,0.38,0.08,0.98,0.69,1.17,0.46
NM_030691,Igsf6,9.23,4.94,4.65,4.82,1.96,5.56,1.91,7.77,0.67,0.54,0.50,0.52,0.21,0.60,0.21,0.84,0.07
NM_026767,Dpm3,20.05,18.06,20.57,16.45,43.44,35.74,18.12,25.75,39.63,0.90,1.03,0.82,2.17,1.78,0.90,1.28,1.98
NM_007623,Cbx2,6.68,14.09,3.07,6.65,3.06,5.61,6.85,7.82,7.30,2.11,0.46,1.00,0.46,0.84,1.03,1.17,1.09
NM_144559,Fcgr4,25.70,4.52,7.33,4.44,8.48,4.08,1.65,2.75,0.64,0.18,0.29,0.17,0.33,0.16,0.06,0.11,0.02
NM_145974,C330016O10Rik,14.94,12.78,8.17,12.98,3.16,15.07,15.70,17.68,17.03,0.86,0.55,0.87,0.21,1.01,1.05,1.18,1.14
NM_008390,Irf1,255.74,231.55,1066.78,237.04,1008.88,418.73,404.64,184.00,428.30,0.91,4.17,0.93,3.95,1.64,1.58,0.72,1.67
NM_178856,Gins2,8.60,6.01,7.83,8.66,5.51,12.05,58.60,5.84,47.64,0.70,0.91,1.01,0.64,1.40,6.81,0.68,5.54
NM_028760,Cep55,1.26,1.78,0.89,1.94,1.45,2.69,9.75,0.97,9.86,1.41,0.71,1.54,1.16,2.14,7.76,0.77,7.85
NM_001100606,Adat3,7.07,2.80,6.73,7.19,4.60,5.47,19.56,7.15,18.21,0.40,0.95,1.02,0.65,0.77,2.77,1.01,2.58
NM_023908,Slco3a1,14.27,8.62,12.69,6.64,30.58,16.84,27.53,14.02,29.58,0.60,0.89,0.47,2.14,1.18,1.93,0.98,2.07
NM_001164602,Amigo2,7.30,5.51,3.90,4.92,8.16,3.40,2.37,3.12,2.43,0.75,0.53,0.67,1.12,0.47,0.32,0.43,0.33
NM_133977,Trf,117.87,13.61,7.81,12.30,3.70,6.52,0.65,9.11,0.62,0.12,0.07,0.10,0.03,0.06,0.01,0.08,0.01
NM_001127346,Ndufaf2,4.69,8.48,7.16,10.25,11.77,15.63,18.30,4.33,16.32,1.81,1.53,2.19,2.51,3.34,3.90,0.92,3.48
NM_013538,Cdca3,14.42,14.04,13.74,13.31,9.57,33.05,143.78,10.10,139.75,0.97,0.95,0.92,0.66,2.29,9.97,0.70,9.69
NM_025892,1500031L02Rik,35.47,24.73,24.06,25.69,11.58,26.43,18.03,20.41,24.53,0.70,0.68,0.72,0.33,0.75,0.51,0.58,0.69
NM_009387,Tk1,10.39,3.86,2.33,6.75,4.20,18.18,81.93,7.74,89.62,0.37,0.22,0.65,0.40,1.75,7.89,0.74,8.63
NM_013876,Rnf11,1.18,6.92,4.07,3.60,6.69,1.66,1.63,3.87,2.73,5.86,3.45,3.05,5.67,1.41,1.38,3.27,2.31
NM_018767,Cd160,6.30,0.90,1.46,0.91,1.23,3.06,5.07,1.24,6.62,0.14,0.23,0.14,0.19,0.49,0.80,0.20,1.05
NM_027212,Med30,62.11,27.59,16.22,12.48,13.53,42.48,54.49,45.21,60.03,0.44,0.26,0.20,0.22,0.68,0.88,0.73,0.97
NM_001163496,Cd160,6.12,0.89,1.43,0.90,1.21,2.99,4.93,1.22,6.44,0.14,0.23,0.15,0.20,0.49,0.81,0.20,1.05
NM_001163497,Cd160,5.64,0.89,1.43,0.83,1.24,2.85,4.56,1.03,6.05,0.16,0.25,0.15,0.22,0.51,0.81,0.18,1.07
NM_009251,Serpina3g,22.92,22.21,169.23,19.63,240.40,53.44,55.48,12.66,47.94,0.97,7.38,0.86,10.49,2.33,2.42,0.55,2.09
NM_009252,Serpina3n,1.02,1.24,6.47,1.05,8.95,2.55,2.98,0.85,2.39,1.22,6.37,1.04,8.81,2.51,2.93,0.84,2.35
NM_026782,1110021J02Rik,2.51,4.96,2.89,5.22,7.60,4.05,4.54,3.63,3.12,1.97,1.15,2.07,3.02,1.61,1.81,1.44,1.24
NM_001033335,Serpina3f,4.14,4.50,30.02,2.67,36.56,9.38,13.69,1.57,11.05,1.09,7.25,0.65,8.83,2.27,3.31,0.38,2.67
NM_001077508,Tnfrsf9,5.05,5.76,27.25,6.19,43.88,13.00,53.09,3.45,49.28,1.14,5.39,1.22,8.68,2.57,10.50,0.68,9.75
NM_001077509,Tnfrsf9,5.02,5.98,26.89,6.05,43.54,12.87,52.54,3.48,48.77,1.19,5.36,1.20,8.67,2.56,10.46,0.69,9.71
NM_027975,Fam83d,1.38,3.50,6.08,2.37,3.95,2.88,14.76,1.17,11.95,2.54,4.41,1.72,2.87,2.09,10.70,0.85,8.67
NM_144526,Fam64a,1.54,1.53,1.85,2.07,1.63,3.33,7.27,1.28,12.06,0.99,1.20,1.34,1.06,2.15,4.71,0.83,7.81
NM_026515,2810417H13Rik,1.48,1.30,1.02,1.22,1.46,3.27,18.75,0.95,18.23,0.88,0.69,0.82,0.99,2.21,12.68,0.65,12.33
NR_003520,Mx1,3.87,6.17,70.91,9.23,170.05,3.57,5.35,1.91,10.67,1.59,18.34,2.39,43.98,0.92,1.38,0.49,2.76
NM_010170,F2rl2,1.36,0.74,4.61,0.65,2.76,2.67,13.35,1.21,14.56,0.55,3.39,0.48,2.03,1.96,9.81,0.89,10.70
NM_010177,Fasl,0.76,1.94,14.00,3.92,23.18,2.07,8.65,1.10,9.10,2.53,18.34,5.14,30.35,2.71,11.33,1.44,11.92
NM_001025779,Cdc6,1.06,0.63,0.89,0.68,0.74,2.22,8.41,0.72,7.49,0.59,0.84,0.64,0.70,2.10,7.96,0.68,7.09
NM_021344,Tesc,21.11,5.15,3.95,3.57,1.80,3.41,10.62,5.04,8.11,0.24,0.19,0.17,0.09,0.16,0.50,0.24,0.38
NM_133706,Tmem97,8.50,17.34,20.61,7.53,16.28,32.58,109.74,12.58,102.21,2.04,2.42,0.89,1.92,3.83,12.91,1.48,12.03
NM_153393,Col23a1,2.03,1.31,3.17,1.30,6.91,2.12,1.49,1.92,2.12,0.65,1.57,0.64,3.41,1.05,0.74,0.95,1.05
NM_025423,1110059E24Rik,1.91,3.37,3.81,3.07,8.73,4.69,6.13,2.41,5.79,1.76,2.00,1.61,4.57,2.45,3.21,1.26,3.03
NM_020583,Isg20,17.49,19.44,129.56,17.69,364.88,21.39,63.85,16.56,69.41,1.11,7.41,1.01,20.86,1.22,3.65,0.95,3.97
NM_145211,Oas1a,20.32,23.38,117.62,34.50,267.73,30.98,64.22,25.32,86.56,1.15,5.79,1.70,13.18,1.52,3.16,1.25,4.26
NM_026530,Mpnd,72.83,49.48,31.55,22.52,29.00,52.84,59.66,56.97,60.68,0.68,0.43,0.31,0.40,0.73,0.82,0.78,0.83
NM_145360,Idi1,3.36,2.12,4.37,2.44,3.34,3.48,13.81,1.38,12.74,0.63,1.30,0.73,0.99,1.04,4.11,0.41,3.79
